id;text;i_18_n;jhi_group;jhi_link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;jhi_order;api_permission_codes;parent_id;component_file;redirect
1;主导航;;true;/;;TOP;;false;false;true;false;false;false;index;;MENU;1;;NULL;LAYOUT;/dashboard
2;仪表盘;;false;/dashboard;;PARENT;ant-design:appstore-outlined;false;false;false;false;false;false;dashboard;;MENU;1;;1;LAYOUT;/dashboard/analysis
3;分析页;;false;/dashboard/analysis;;BLANK;;false;false;false;false;false;false;dashboard-analysis;;MENU;0;;2;dashboard/Analysis;
77;设置;;true;/settings;;NULL;;false;false;true;false;false;false;settings;;MENU;1;;NULL;LAYOUT;/entities/system
87;业务;;true;/entities;;NULL;;false;false;true;false;false;false;business;;MENU;1;;NULL;LAYOUT;
105;系统设置;;false;/settings/system;;NULL;ion:settings-outline;false;false;false;false;false;false;settings-system;;MENU;1;;87;LAYOUT;
107;缓存管理;;false;/system/cache-manage;;SELF;;false;false;false;false;false;false;system-cache-manage;;MENU;1;;105;system/cache-manage/cache-manage;
108;数据可视;;false;/entities/report;;SELF;ion:bar-chart-outline;false;false;false;false;false;false;report;;MENU;1;;87;LAYOUT;
109;API权限;;false;/system/api-permission;;SELF;;false;false;false;false;false;false;systemApiPermissionList;;MENU;1;;105;system/api-permission/api-permission-list;
110;编辑API权限;;false;/system/api-permission/:entityId/edit;;SELF;;false;true;false;false;false;false;systemApiPermissionEdit;;MENU;1;;105;system/api-permission/api-permission-edit;
111;新建API权限;;false;/system/api-permission/new;;SELF;;false;true;false;false;false;false;systemApiPermissionNew;;MENU;1;;105;system/api-permission/api-permission-edit;
112;查看API权限;;false;/system/api-permission/detail;;SELF;;false;true;false;false;false;false;systemApiPermissionDetail;;MENU;1;;105;system/api-permission/api-permission-detail;
113;oss;;false;/oss;;SELF;ant-design:project-outline;false;false;false;false;false;false;oss;;MENU;1;;87;LAYOUT;
114;对象存储配置;;false;/oss/oss-config;;SELF;;false;false;false;false;false;false;ossOssConfigList;;MENU;1;;113;files/oss-config/oss-config-list;
115;编辑对象存储配置;;false;/oss/oss-config/:entityId/edit;;SELF;;false;true;false;false;false;false;ossOssConfigEdit;;MENU;1;;113;files/oss-config/oss-config-edit;
116;新建对象存储配置;;false;/oss/oss-config/new;;SELF;;false;true;false;false;false;false;ossOssConfigNew;;MENU;1;;113;files/oss-config/oss-config-edit;
